date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-05-31,2027-05-31T19:38:08.854371+10:00,2027-06-01T05:58:08.854371+10:00,630.0,88.51,excellent
2027-06-01,2027-06-01T19:37:59.191131+10:00,2027-06-02T05:57:59.191131+10:00,630.0,88.48,excellent
2027-06-02,2027-06-02T19:37:50.749045+10:00,2027-06-03T05:57:50.749045+10:00,630.0,88.29,excellent
2027-06-03,2027-06-03T19:27:43.521224+10:00,2027-06-04T05:57:43.521224+10:00,640.0,88.55,excellent
2027-06-04,2027-06-04T19:27:37.499772+10:00,2027-06-05T05:57:37.499772+10:00,640.0,88.36,excellent
2027-06-05,2027-06-05T19:17:32.675790+10:00,2027-06-06T05:57:32.675790+10:00,650.0,88.44,excellent
2027-06-06,2027-06-06T19:17:29.039377+10:00,2027-06-07T05:57:29.039377+10:00,650.0,88.53,excellent
2027-06-07,2027-06-07T19:17:26.579636+10:00,2027-06-08T05:47:26.579636+10:00,640.0,88.2,excellent
2027-06-08,2027-06-08T19:07:25.284689+10:00,2027-06-09T05:47:25.284689+10:00,650.0,88.54,excellent
2027-06-09,2027-06-09T21:48:00+10:00,2027-06-10T05:48:00+10:00,490.0,88.36,excellent
2027-06-10,2027-06-10T22:52:00+10:00,2027-06-11T05:42:00+10:00,420.0,88.52,excellent
2027-06-11,2027-06-11T23:54:00+10:00,2027-06-12T05:34:00+10:00,350.0,88.44,excellent
2027-06-12,2027-06-12T18:57:31.481457+10:00,2027-06-13T05:27:31.481457+10:00,640.0,88.2,excellent
2027-06-14,2027-06-14T00:53:00+10:00,2027-06-14T05:23:00+10:00,280.0,80.12,excellent
2027-06-15,2027-06-15T01:53:00+10:00,2027-06-15T05:23:00+10:00,220.0,66.11,excellent
2027-06-16,2027-06-16T02:52:00+10:00,2027-06-16T05:22:00+10:00,160.0,52.38,excellent
2027-06-17,2027-06-17T03:51:00+10:00,2027-06-17T05:11:00+10:00,90.0,38.83,excellent
2027-06-18,2027-06-18T04:51:00+10:00,2027-06-18T05:11:00+10:00,30.0,25.36,excellent
2027-06-21,2027-06-21T18:18:47.344944+10:00,2027-06-21T18:48:47.344944+10:00,40.0,27.34,excellent
2027-06-22,2027-06-22T18:19:00.598319+10:00,2027-06-22T19:39:00.598319+10:00,90.0,38.77,excellent
2027-06-23,2027-06-23T18:09:14.732909+10:00,2027-06-23T20:39:14.732909+10:00,160.0,52.59,excellent
2027-06-24,2027-06-24T18:09:29.724075+10:00,2027-06-25T04:39:29.724075+10:00,640.0,88.3,excellent
